zaman,ivme_x,ivme_y,ivme_z,etiket
1777035999.7254052,0.00,0.04,-0.06,1
1777035999.7254052,0.00,0.07,-0.07,1
1777035999.7254052,-0.08,0.07,0.08,1
1777035999.7269144,-0.02,0.00,0.03,1
1777035999.7269144,-0.05,-0.05,-0.20,1
1777035999.7279232,-0.09,-0.08,-0.02,1
1777035999.7279232,-0.12,-0.05,-0.06,1
1777035999.7289217,-0.14,-0.01,-0.14,1
1777035999.7289217,-0.15,0.06,-0.05,1
1777035999.7299216,-0.26,0.10,-0.09,1
1777035999.7299216,-0.19,0.09,-0.08,1
1777035999.7299216,0.00,0.06,-0.09,1
1777035999.7309253,0.00,0.05,-0.10,1
1777035999.7309253,-0.10,0.03,-0.13,1
1777035999.7319252,-0.17,0.05,-0.09,1
1777035999.7319252,-0.12,0.00,-0.12,1
1777035999.7319252,-0.09,0.00,-0.07,1
1777035999.7333744,-0.14,0.04,-0.04,1
1777035999.7333744,-0.16,0.07,-0.13,1
1777035999.7344446,-0.02,0.04,-0.07,1
1777035999.7344446,-0.06,0.06,-0.09,1
1777035999.7344446,0.00,0.00,-0.11,1
1777035999.7359242,0.02,-0.02,-0.11,1
1777035999.7359242,0.08,0.00,-0.14,1
1777035999.7369325,0.00,-0.04,-0.15,1
1777035999.7369325,-0.07,-0.01,-0.18,1
1777035999.738194,-0.11,-0.01,-0.18,1
1777035999.738194,-0.07,-0.05,-0.09,1
1777035999.7391944,-0.02,0.04,-0.12,1
1777035999.7391944,-0.07,0.09,-0.19,1
1777035999.7391944,-0.01,0.01,-0.12,1
1777035999.740195,-0.02,-0.02,-0.16,1
1777035999.740195,-0.21,0.03,-0.17,1
1777035999.740195,-0.02,0.13,-0.13,1
1777035999.7411923,0.03,0.08,-0.17,1
1777035999.7411923,0.05,0.01,-0.09,1
1777035999.7411923,0.02,-0.01,-0.19,1
1777035999.7421913,0.07,-0.09,-0.19,1
1777035999.7421913,-0.05,-0.20,-0.05,1
1777035999.743193,0.01,0.01,-0.43,1
1777035999.743193,0.01,0.19,-0.14,1
1777035999.743193,-0.28,0.00,0.01,1
1777035999.743193,-0.09,0.17,-0.26,1
1777035999.744191,0.11,0.22,-0.22,1
1777035999.744191,-0.24,-0.05,-0.17,1
1777035999.744191,-0.13,-0.02,-0.28,1
1777035999.7453728,0.02,0.00,-0.21,1
1777035999.7453728,0.11,-0.11,-0.15,1
1777035999.7453728,0.07,-0.09,-0.16,1
1777035999.7453728,-0.06,0.05,-0.20,1
1777035999.7453728,0.02,0.06,-0.19,1
1777035999.7469265,-0.18,0.01,-0.06,1
1777035999.7469265,-0.23,0.03,-0.15,1
1777035999.7479372,0.03,0.08,-0.22,1
1777035999.7479372,-0.04,0.04,-0.07,1
