zaman,ivme_x,ivme_y,ivme_z,etiket
1777035822.335413,-0.17,-0.40,-0.41,0
1777035822.335413,0.04,-0.72,-0.25,0
1777035822.3396766,0.06,-1.28,0.68,0
1777035822.3396766,0.65,-1.23,1.35,0
1777035822.3396766,1.91,-0.65,0.70,0
1777035822.3414476,1.71,-0.71,0.66,0
1777035822.3420255,0.68,-0.86,0.51,0
1777035822.3423934,1.04,-0.98,0.67,0
1777035822.3423934,1.76,-1.06,0.75,0
1777035822.3434293,1.90,-0.98,0.55,0
1777035822.3439395,1.68,-0.84,0.11,0
1777035822.3442826,0.88,-0.85,-0.39,0
1777035822.3446045,0.41,-0.90,-0.37,0
1777035822.3451514,-0.24,-0.99,-0.19,0
1777035822.3451514,-0.54,-1.02,-0.17,0
1777035822.3451514,-0.55,-0.75,-0.45,0
1777035822.3451514,-0.63,-0.45,-0.46,0
1777035822.3451514,-0.70,-0.18,-0.58,0
1777035822.3451514,-0.88,-0.07,-0.57,0
1777035822.3451514,-1.43,0.18,-0.54,0
1777035822.3451514,-1.49,0.19,-0.53,0
1777035822.3451514,-1.33,0.09,-0.48,0
1777035822.3451514,-1.27,-0.09,-0.42,0
1777035822.3451514,-1.37,-0.09,-0.47,0
1777035822.3492632,-1.06,0.05,-0.21,0
1777035822.3492632,-0.99,0.17,-0.22,0
1777035822.3492632,-0.97,0.31,-0.44,0
1777035822.3502736,-0.71,0.26,-0.59,0
1777035822.3502736,-0.45,0.23,-0.39,0
1777035822.3502736,-0.66,0.16,-0.28,0
1777035822.3502736,-0.66,0.17,-0.17,0
1777035822.3502736,-0.47,0.37,-0.13,0
1777035822.351782,-0.36,0.32,-0.22,0
1777035822.351782,-0.35,0.16,-0.13,0
1777035822.351782,-0.55,0.09,0.05,0
1777035822.3527892,-0.40,0.15,0.06,0
1777035822.3527892,-0.07,0.10,-0.17,0
1777035822.3537908,0.04,0.07,-0.16,0
1777035822.3537908,-0.23,0.09,-0.28,0
1777035822.3547883,-0.16,-0.08,-0.04,0
1777035822.3547883,0.00,-0.11,-0.03,0
1777035822.3547883,0.02,-0.18,-0.09,0
1777035822.3558104,0.12,-0.16,-0.27,0
1777035822.3564517,0.16,-0.06,-0.29,0
1777035822.3564517,0.02,0.01,-0.22,0
1777035822.3564517,-0.25,0.03,-0.12,0
1777035822.3576517,0.15,0.00,0.12,0
1777035822.3576517,0.18,0.02,0.24,0
1777035822.3576517,0.16,0.02,0.45,0
1777035822.358655,0.00,0.00,0.49,0
1777035822.3592896,0.16,-0.06,0.50,0
1777035822.3592896,0.34,-0.08,0.57,0
1777035822.3600912,0.47,-0.28,0.25,0
1777035822.3600912,0.01,-0.24,0.16,0
1777035822.3600912,-0.08,-0.28,-0.05,0
1777035822.361101,0.02,-0.37,-0.17,0
1777035822.361101,0.09,-0.44,-0.05,0
1777035822.361101,0.32,-0.39,0.02,0
1777035822.361101,0.36,-0.53,-0.03,0
1777035822.362096,0.18,-0.59,-0.07,0
1777035822.362096,0.26,-0.45,-0.11,0
1777035822.362096,-0.02,-0.15,-0.10,0
1777035822.362096,-0.14,0.04,0.20,0
1777035822.362096,0.05,0.08,0.25,0
1777035822.362096,0.40,0.18,0.17,0
1777035822.362096,0.25,0.19,0.03,0
1777035822.3642092,-0.03,0.11,-0.09,0
1777035822.3642092,-0.02,0.07,0.02,0
1777035822.3642092,0.11,-0.13,-0.05,0
1777035822.3642092,0.00,-0.18,0.04,0
1777035822.3652148,0.14,-0.15,0.07,0
1777035822.3652148,0.71,-0.09,0.00,0
1777035822.3652148,0.76,-0.08,-0.06,0
1777035822.3652148,0.35,-0.07,-0.11,0
1777035822.3662126,0.19,-0.13,0.00,0
1777035822.3662126,-0.17,-0.27,-0.06,0
1777035822.3662126,-0.04,-0.20,-0.06,0
1777035822.3662126,0.21,-0.05,-0.04,0
1777035822.367212,0.12,0.03,-0.08,0
1777035822.367212,0.09,0.00,-0.07,0
1777035822.367212,-0.07,-0.03,0.00,0
1777035822.367212,-0.02,-0.11,-0.16,0
1777035822.3682132,0.17,-0.14,0.02,0
1777035822.3682132,0.10,-0.04,-0.03,0
1777035822.3682132,0.15,-0.10,-0.14,0
1777035822.369216,0.18,0.08,0.04,0
1777035822.369216,0.52,0.06,-0.07,0
1777035822.370176,0.38,0.16,0.40,0
1777035822.3705654,0.02,0.00,-0.38,0
1777035822.3705654,0.03,-0.16,0.00,0
1777035822.3705654,0.09,-0.12,0.00,0
1777035822.3705654,0.10,-0.18,-0.11,0
1777035822.3705654,-0.02,-0.21,-0.02,0
1777035822.3722703,0.05,-0.10,0.00,0
1777035822.3722703,0.18,-0.13,-0.06,0
1777035822.3722703,0.16,0.00,-0.07,0
1777035822.3762903,0.14,0.00,-0.08,0
1777035822.4020834,0.22,-0.05,-0.04,0
1777035822.4229045,0.21,0.00,0.05,0
1777035822.4452934,0.29,0.01,-0.03,0
1777035822.4618764,0.26,0.04,0.00,0
1777035822.4855905,0.23,0.05,-0.02,0
1777035822.5071206,0.03,-0.04,-0.07,0
1777035822.5261075,0.17,-0.07,-0.05,0
1777035822.5454936,0.19,-0.10,-0.02,0
1777035822.569961,0.10,-0.13,-0.08,0
1777035822.5918906,-0.07,-0.21,-0.06,0
1777035822.6124055,-0.09,-0.21,-0.02,0
1777035822.63562,0.02,-0.19,-0.08,0
1777035822.6567943,0.10,-0.02,-0.04,0
1777035822.6729782,0.13,0.00,-0.01,0
1777035822.6933322,0.13,-0.01,-0.03,0
1777035822.7121189,0.08,0.04,0.00,0
1777035822.7403817,0.12,0.04,-0.05,0
1777035822.7613153,0.22,0.03,-0.04,0
1777035822.781787,0.30,0.05,-0.02,0
1777035822.8051038,0.18,0.00,-0.03,0
1777035822.826386,0.23,-0.07,-0.05,0
1777035822.8461757,0.16,-0.15,-0.08,0
1777035822.866703,0.05,-0.19,-0.10,0
1777035822.8887022,0.03,-0.16,-0.13,0
1777035822.9089615,-0.04,-0.11,-0.10,0
1777035822.9261916,-0.02,-0.04,-0.08,0
1777035822.953233,0.09,-0.07,-0.08,0
1777035822.9747524,0.14,-0.05,-0.07,0
1777035822.9950936,0.00,-0.03,-0.08,0
1777035823.0117166,-0.04,-0.02,-0.05,0
1777035823.0384989,0.04,-0.01,-0.04,0
1777035823.0591753,0.00,-0.01,-0.03,0
1777035823.076788,0.14,0.00,-0.02,0
1777035823.0930948,0.24,0.04,-0.05,0
1777035823.1216812,0.23,0.07,-0.02,0
1777035823.1427991,0.23,0.00,-0.05,0
1777035823.1649928,0.18,-0.09,-0.03,0
1777035823.1871512,0.13,-0.15,-0.05,0
1777035823.2083519,0.01,-0.20,-0.11,0
1777035823.2267213,0.00,-0.18,-0.10,0
1777035823.2467742,-0.07,-0.05,-0.05,0
1777035823.270349,-0.02,0.00,-0.07,0
1777035823.2928586,0.11,0.07,-0.09,0
1777035823.3130143,0.07,0.04,-0.04,0
1777035823.3347323,0.00,-0.01,-0.06,0
1777035823.3571665,0.02,-0.01,-0.06,0
1777035823.376694,-0.04,-0.01,-0.03,0
1777035823.3936663,0.05,-0.02,-0.03,0
1777035823.4203608,0.10,0.00,-0.01,0
1777035823.4407103,0.17,0.01,-0.05,0
1777035823.4619474,0.19,0.00,-0.02,0
1777035823.48206,0.10,0.00,0.00,0
1777035823.5052483,0.11,0.00,-0.05,0
1777035823.526331,0.04,-0.03,-0.05,0
1777035823.5474668,0.05,-0.08,-0.08,0
1777035823.568796,-0.04,-0.13,-0.06,0
1777035823.5904229,0.06,-0.04,-0.10,0
1777035823.6094925,0.04,0.02,-0.10,0
1777035823.6317334,0.04,-0.02,-0.08,0
1777035823.6536055,-0.07,-0.03,-0.10,0
1777035823.6739995,-0.04,-0.07,-0.01,0
1777035823.6963818,0.14,-0.12,-0.08,0
1777035823.7171235,0.14,-0.07,-0.04,0
1777035823.7385197,0.08,-0.08,-0.06,0
1777035823.759223,0.06,-0.10,0.00,0
1777035823.7766967,-0.13,-0.13,-0.03,0
1777035823.8015263,-0.11,-0.13,-0.06,0
1777035823.8226066,0.01,-0.16,0.01,0
1777035823.8450143,0.15,-0.16,-0.04,0
1777035823.861877,0.32,-0.02,-0.06,0
1777035823.8885396,0.17,0.19,-0.11,0
1777035823.9097316,-0.13,0.05,-0.14,0
1777035823.9258764,-0.01,-0.05,-0.05,0
1777035823.947687,0.00,0.10,-0.11,0
1777035823.971673,-0.05,0.13,-0.14,0
1777035823.9927292,-0.18,0.03,-0.10,0
1777035824.0114954,0.10,0.08,0.03,0
1777035824.0315962,0.04,0.02,0.00,0
1777035824.0574207,0.22,0.06,0.08,0
1777035824.0760555,0.23,0.04,-0.07,0
1777035824.093398,-0.13,-0.05,-0.02,0
1777035824.1214085,-0.21,0.01,-0.02,0
1777035824.148224,0.60,-0.23,-0.02,0
1777035824.1688595,0.60,-0.28,0.10,0
1777035824.19088,0.02,-0.18,0.11,0
1777035824.2095442,-0.35,0.11,-0.50,0
1777035824.2321882,0.00,0.12,-0.35,0
1777035824.2531254,0.13,0.16,0.29,0
1777035824.2744517,-0.01,0.08,0.09,0
1777035824.2930708,0.20,0.01,-0.25,0
1777035824.3167295,0.38,0.00,-0.23,0
1777035824.339205,-0.12,-0.07,-0.27,0
1777035824.3598053,-0.41,-0.14,0.04,0
1777035824.3816965,0.18,-0.01,0.14,0
1777035824.4033267,0.28,-0.25,-0.28,0
1777035824.4245024,0.15,-0.15,-0.20,0
1777035824.4430773,-0.17,0.14,0.17,0
1777035824.4617105,-0.30,-0.08,0.07,0
1777035824.4875813,0.13,0.05,-0.23,0
1777035824.5103106,0.05,0.21,-0.04,0
1777035824.5293498,0.13,-0.09,0.09,0
1777035824.5520062,0.59,-0.13,-0.10,0
1777035824.5733714,0.28,-0.09,-0.11,0
1777035824.5941975,-0.05,-0.18,0.04,0
1777035824.613801,-0.21,-0.22,-0.04,0
1777035824.6365995,-0.33,-0.29,-0.05,0
1777035824.6594195,0.05,-0.22,-0.04,0
1777035824.6770637,0.23,0.00,-0.09,0
1777035824.7018447,0.16,0.17,-0.22,0
1777035824.7227714,0.10,0.14,-0.13,0
1777035824.7434344,-0.08,0.09,-0.26,0
1777035824.765324,0.03,0.12,-0.10,0
1777035824.7856839,0.06,0.10,-0.08,0
1777035824.80773,0.19,-0.06,-0.11,0
1777035824.8283095,0.14,-0.10,0.00,0
1777035824.84921,0.01,0.04,-0.12,0
1777035824.87075,0.00,0.06,-0.20,0
1777035824.8928924,-0.30,0.02,0.04,0
