zaman,ivme_x,ivme_y,ivme_z,etiket
1777036132.1143506,-0.02,-0.03,-0.22,2
1777036132.1143506,-0.36,0.04,-0.29,2
1777036132.1153357,-0.13,-0.02,-0.28,2
1777036132.1153357,0.27,0.02,-0.30,2
1777036132.1153357,0.20,0.03,-0.29,2
1777036132.116843,-0.19,0.05,-0.27,2
1777036132.116843,-0.13,0.02,-0.20,2
1777036132.116843,0.08,0.00,-0.28,2
1777036132.1178508,0.09,-0.03,-0.25,2
1777036132.1178508,-0.04,0.01,-0.11,2
1777036132.1188502,-0.27,0.26,-0.24,2
1777036132.1188502,-0.15,0.47,-0.19,2
1777036132.1188502,0.19,0.29,-0.09,2
1777036132.1198525,0.17,-0.06,-0.16,2
1777036132.1198525,-0.31,-0.19,-0.22,2
1777036132.1198525,0.22,-0.30,-0.24,2
1777036132.12085,0.51,-0.20,-0.31,2
1777036132.12085,-0.11,0.04,-0.35,2
1777036132.12085,-0.68,0.12,-0.15,2
1777036132.1218503,-0.31,-0.08,-0.10,2
1777036132.1218503,0.84,-0.13,-0.39,2
1777036132.1218503,1.06,0.23,-0.44,2
1777036132.122853,0.32,0.37,-0.47,2
1777036132.122853,-1.83,0.03,-0.29,2
1777036132.122853,-1.37,-0.35,-0.20,2
1777036132.122853,0.59,-0.28,-0.22,2
1777036132.1238496,2.95,0.33,-0.28,2
1777036132.1238496,1.35,0.91,-0.48,2
1777036132.1238496,-1.74,0.03,-0.14,2
1777036132.1238496,-2.64,-0.76,-0.04,2
1777036132.1238496,-0.86,-0.86,-0.58,2
1777036132.1238496,2.82,0.37,-0.10,2
1777036132.1238496,1.47,0.59,-0.35,2
1777036132.1238496,-2.47,0.08,-0.03,2
1777036132.1238496,-3.19,-0.36,-0.17,2
1777036132.126906,0.26,-0.37,-0.41,2
1777036132.126906,3.50,0.75,-0.44,2
1777036132.126906,1.38,0.40,-0.45,2
1777036132.126906,-3.06,-0.27,-0.36,2
1777036132.126906,-3.59,-0.26,-0.16,2
1777036132.126906,0.24,-0.10,-0.08,2
1777036132.126906,3.44,0.35,-0.49,2
1777036132.126906,0.76,-0.60,-0.46,2
1777036132.1292117,-3.94,-0.34,-0.42,2
1777036132.1292117,-2.91,-0.09,-0.28,2
1777036132.1292117,2.09,-0.24,0.01,2
1777036132.13022,2.63,-0.01,-0.26,2
1777036132.13022,-0.11,0.00,-0.18,2
1777036132.13022,-0.72,0.17,-0.50,2
1777036132.1312194,-0.32,1.01,-0.45,2
1777036132.1312194,-0.20,0.40,0.05,2
1777036132.1312194,-0.09,-0.37,-0.02,2
1777036132.1312194,-0.33,0.13,-0.11,2
1777036132.1322186,-0.83,0.74,-0.15,2
1777036132.1322186,0.32,-0.04,-0.24,2
1777036132.1322186,1.60,-0.61,0.01,2
1777036132.1332188,1.42,-0.44,-0.64,2
1777036132.1332188,-1.71,0.18,-0.78,2
1777036132.1332188,-2.59,0.63,-0.23,2
1777036132.1344502,-1.27,0.03,0.15,2
1777036132.1347668,1.15,-0.43,0.02,2
1777036132.1347668,2.21,-0.32,-0.73,2
1777036132.1360931,-1.48,0.38,-0.21,2
1777036132.1360931,-2.38,0.39,0.30,2
1777036132.1371021,0.16,-0.43,-0.01,2
1777036132.1371021,2.52,-0.63,-0.34,2
1777036132.1371021,1.40,-0.78,-0.71,2
1777036132.1381102,-1.31,-0.46,-0.73,2
1777036132.138412,-2.86,1.20,-0.03,2
1777036132.138412,-1.63,1.15,-0.19,2
1777036132.1389382,1.04,-0.05,-0.14,2
1777036132.1394308,2.15,-0.85,-0.21,2
1777036132.1394308,0.76,-0.36,-0.68,2
1777036132.1394308,-2.12,1.35,-0.73,2
1777036132.1394308,-2.42,1.14,-0.48,2
1777036132.1404376,0.27,-0.15,0.42,2
1777036132.1404376,2.48,-1.31,-0.18,2
1777036132.1404376,1.63,-1.20,-0.46,2
1777036132.1404376,-1.03,0.91,-1.20,2
1777036132.1404376,-2.04,1.22,-0.36,2
1777036132.1404376,-0.78,0.25,0.12,2
1777036132.1404376,0.40,-0.63,0.28,2
1777036132.1404376,1.40,-0.79,0.26,2
1777036132.1404376,0.05,0.64,-0.80,2
1777036132.1404376,-1.04,1.20,-0.93,2
1777036132.1404376,-0.92,0.24,0.41,2
1777036132.1404376,0.64,-0.26,0.50,2
1777036132.1404376,2.06,-0.88,-0.47,2
1777036132.1404376,-1.00,0.32,-1.04,2
1777036132.1440191,-2.00,1.01,-0.84,2
1777036132.1440191,-1.76,0.41,0.35,2
1777036132.1440191,-0.26,0.05,0.16,2
1777036132.1440191,1.79,-0.23,-0.41,2
1777036132.1450245,1.42,-0.23,-0.30,2
1777036132.1450245,-0.01,0.37,-0.49,2
1777036132.1450245,-1.12,0.62,-0.25,2
1777036132.163234,-0.95,-0.40,0.11,2
1777036132.18408,0.57,-0.40,-0.60,2
1777036132.205354,0.45,0.34,-0.31,2
1777036132.2268286,-0.58,0.17,-0.14,2
1777036132.2481937,-0.92,-0.19,0.00,2
1777036132.268376,0.26,-0.62,-0.47,2
1777036132.2878652,0.92,-0.15,-0.57,2
1777036132.310551,0.77,0.78,0.00,2
1777036132.333799,0.21,0.77,-0.02,2
1777036132.3486183,-0.87,0.23,0.05,2
1777036132.3710127,-0.52,-0.63,-0.26,2
1777036132.396608,-1.25,-0.90,-0.38,2
1777036132.4177508,1.23,-0.36,-0.30,2
1777036132.437113,3.39,0.62,-0.10,2
1777036132.4569142,1.02,0.81,-0.13,2
1777036132.4821398,-3.08,0.17,-0.54,2
1777036132.5041013,-2.86,-0.43,-0.34,2
1777036132.524986,0.20,-1.16,-0.83,2
1777036132.54677,2.71,0.21,-0.02,2
1777036132.5669086,2.21,1.94,0.25,2
1777036132.5882206,0.06,0.83,0.20,2
1777036132.6093283,-3.31,-1.19,-0.52,2
1777036132.6318989,-1.28,-1.30,-0.90,2
1777036132.6535246,2.04,-0.18,-0.20,2
1777036132.6745923,3.40,1.73,0.11,2
1777036132.694907,-1.28,0.44,0.09,2
1777036132.7157307,-3.87,-1.16,-0.76,2
1777036132.7369936,-0.51,-0.88,-0.92,2
1777036132.7571735,3.29,0.43,0.19,2
1777036132.780388,3.26,1.36,0.17,2
1777036132.801872,-0.46,0.44,0.07,2
1777036132.8220968,-4.44,-0.86,-0.67,2
1777036132.838004,-2.68,-1.14,-0.70,2
1777036132.8657084,2.43,-0.22,0.05,2
1777036132.8860452,2.24,0.90,-0.21,2
1777036132.9072857,-1.80,0.42,-0.21,2
1777036132.9270446,-4.13,-0.15,-0.18,2
1777036132.9499483,-1.40,-0.69,-0.82,2
1777036132.9703987,2.96,0.15,-0.20,2
1777036132.9927905,3.87,0.76,-0.01,2
1777036133.0133035,-1.52,-0.49,-0.28,2
